,Race/Ethnicity,Sex,Department,Age,Hourly Rate,Regular/Temporary,Employee Status,Race/Ethnicity_index,Sex_index,Department_index,Regular/Temporary_index,Employee Status_index
19,Hispanic or Latino,M,Parks & Recreation,22,18,T,A,3.0,0.0,0.0,1.0,0.0
20,Hispanic or Latino,M,Seattle Public Utilities,56,41,R,A,3.0,0.0,3.0,0.0,0.0
21,Hispanic or Latino,M,Fire Department,43,60,R,A,3.0,0.0,5.0,0.0,0.0
22,Hispanic or Latino,M,Seattle Dept of Transportation,28,44,R,A,3.0,0.0,4.0,0.0,0.0
23,Hispanic or Latino,F,Parks & Recreation,20,18,T,A,3.0,1.0,0.0,1.0,0.0
24,Hispanic or Latino,F,Municipal Court,44,57,T,A,3.0,1.0,12.0,1.0,0.0
25,Hispanic or Latino,M,Fire Department,29,36,R,A,3.0,0.0,5.0,0.0,0.0
26,Hispanic or Latino,M,Seattle City Light,54,69,R,A,3.0,0.0,1.0,0.0,0.0
27,Hispanic or Latino,F,Seattle Public Utilities,56,40,R,A,3.0,1.0,3.0,0.0,0.0
28,Hispanic or Latino,M,Parks & Recreation,60,57,R,A,3.0,0.0,0.0,0.0,0.0
29,Hispanic or Latino,M,Police Department,35,54,R,A,3.0,0.0,2.0,0.0,0.0
30,Hispanic or Latino,M,Seattle Public Utilities,31,34,R,A,3.0,0.0,3.0,0.0,0.0
31,Hispanic or Latino,N,Seattle Public Utilities,44,44,R,A,3.0,2.0,3.0,0.0,0.0
32,Hispanic or Latino,M,Seattle Public Library,30,22,R,A,3.0,0.0,6.0,0.0,0.0
33,Hispanic or Latino,M,Finance & Admin Services,34,44,R,A,3.0,0.0,10.0,0.0,0.0
34,Hispanic or Latino,M,Police Department,31,50,R,A,3.0,0.0,2.0,0.0,0.0
35,Hispanic or Latino,M,Parks & Recreation,76,29,R,A,3.0,0.0,0.0,0.0,0.0
36,Hispanic or Latino,M,Parks & Recreation,44,30,R,A,3.0,0.0,0.0,0.0,0.0
37,Hispanic or Latino,F,Seattle Dept of Human Resource,42,68,R,A,3.0,1.0,16.0,0.0,0.0
38,Hispanic or Latino,F,Seattle Dept of Transportation,59,57,R,A,3.0,1.0,4.0,0.0,0.0
39,Hispanic or Latino,M,Seattle Public Utilities,43,52,R,A,3.0,0.0,3.0,0.0,0.0
40,Hispanic or Latino,M,Finance & Admin Services,44,44,R,A,3.0,0.0,10.0,0.0,0.0
41,Hispanic or Latino,F,Seattle Public Library,55,23,R,A,3.0,1.0,6.0,0.0,0.0
42,Hispanic or Latino,M,Police Department,51,67,R,A,3.0,0.0,2.0,0.0,0.0
43,Hispanic or Latino,M,Construction & Inspections,33,44,R,A,3.0,0.0,11.0,0.0,0.0
44,Hispanic or Latino,M,Police Department,34,54,R,A,3.0,0.0,2.0,0.0,0.0
45,Hispanic or Latino,F,Information Technology,44,44,R,A,3.0,1.0,8.0,0.0,0.0
46,Hispanic or Latino,F,Seattle City Light,40,40,R,A,3.0,1.0,1.0,0.0,0.0
47,Hispanic or Latino,M,Fire Department,34,41,R,A,3.0,0.0,5.0,0.0,0.0
48,Hispanic or Latino,M,Parks & Recreation,39,19,T,A,3.0,0.0,0.0,1.0,0.0
49,Hispanic or Latino,M,Seattle City Light,63,36,R,A,3.0,0.0,1.0,0.0,0.0
50,Hispanic or Latino,F,Finance & Admin Services,40,23,R,A,3.0,1.0,10.0,0.0,0.0
51,Hispanic or Latino,F,Seattle Public Library,25,37,R,A,3.0,1.0,6.0,0.0,0.0
52,Hispanic or Latino,F,Office of Labor Standards,58,47,R,A,3.0,1.0,28.0,0.0,0.0
53,Hispanic or Latino,F,Municipal Court,42,31,R,A,3.0,1.0,12.0,0.0,0.0
54,Hispanic or Latino,F,Seattle City Light,37,49,R,A,3.0,1.0,1.0,0.0,0.0
55,Hispanic or Latino,M,Seattle City Light,49,36,R,A,3.0,0.0,1.0,0.0,0.0
56,Hispanic or Latino,M,Police Department,28,33,R,A,3.0,0.0,2.0,0.0,0.0
57,Hispanic or Latino,M,Police Department,23,40,R,P,3.0,0.0,2.0,0.0,2.0
58,Hispanic or Latino,M,Office of Housing,47,66,R,A,3.0,0.0,19.0,0.0,0.0
59,Hispanic or Latino,F,Education & Early Learning,45,62,R,A,3.0,1.0,15.0,0.0,0.0
60,Hispanic or Latino,M,Finance & Admin Services,33,43,R,A,3.0,0.0,10.0,0.0,0.0
61,Hispanic or Latino,F,Parks & Recreation,38,29,R,A,3.0,1.0,0.0,0.0,0.0
62,Hispanic or Latino,F,Sustainability & Environment,29,57,R,A,3.0,1.0,26.0,0.0,0.0
63,Hispanic or Latino,F,Police Department,49,32,R,A,3.0,1.0,2.0,0.0,0.0
64,Hispanic or Latino,F,Sustainability & Environment,51,58,R,A,3.0,1.0,26.0,0.0,0.0
65,Hispanic or Latino,M,Seattle City Light,60,69,R,A,3.0,0.0,1.0,0.0,0.0
66,Hispanic or Latino,F,Parks & Recreation,19,19,T,A,3.0,1.0,0.0,1.0,0.0
67,Hispanic or Latino,M,Seattle Public Library,44,40,R,A,3.0,0.0,6.0,0.0,0.0
68,Hispanic or Latino,F,Parks & Recreation,48,18,R,A,3.0,1.0,0.0,0.0,0.0
69,Hispanic or Latino,M,Seattle Public Library,23,24,R,A,3.0,0.0,6.0,0.0,0.0
70,Hispanic or Latino,M,Fire Department,35,46,R,A,3.0,0.0,5.0,0.0,0.0
71,Hispanic or Latino,M,Seattle Public Utilities,55,41,R,A,3.0,0.0,3.0,0.0,0.0
72,Hispanic or Latino,M,Office for Civil Rights,29,44,R,A,3.0,0.0,25.0,0.0,0.0
73,Hispanic or Latino,M,Parks & Recreation,45,30,R,A,3.0,0.0,0.0,0.0,0.0
74,Hispanic or Latino,M,Municipal Court,36,45,R,A,3.0,0.0,12.0,0.0,0.0
75,Hispanic or Latino,M,Seattle Dept of Transportation,66,36,R,A,3.0,0.0,4.0,0.0,0.0
76,Hispanic or Latino,M,Police Department,58,69,R,A,3.0,0.0,2.0,0.0,0.0
77,Hispanic or Latino,M,Seattle Public Utilities,49,57,R,A,3.0,0.0,3.0,0.0,0.0
78,Hispanic or Latino,M,Municipal Court,74,45,R,A,3.0,0.0,12.0,0.0,0.0
79,Hispanic or Latino,M,Seattle Dept of Transportation,20,30,T,A,3.0,0.0,4.0,1.0,0.0
80,Hispanic or Latino,F,Commnty Sfty and Comm Ctr Dept,44,36,R,A,3.0,1.0,14.0,0.0,0.0
81,Hispanic or Latino,F,Human Services Department,16,17,T,A,3.0,1.0,7.0,1.0,0.0
82,Hispanic or Latino,M,Seattle City Light,20,24,T,A,3.0,0.0,1.0,1.0,0.0
83,Hispanic or Latino,F,Seattle City Light,50,63,R,A,3.0,1.0,1.0,0.0,0.0
84,Hispanic or Latino,M,Seattle City Light,61,42,R,A,3.0,0.0,1.0,0.0,0.0
85,Hispanic or Latino,F,Commnty Sfty and Comm Ctr Dept,27,39,R,A,3.0,1.0,14.0,0.0,0.0
86,Hispanic or Latino,F,Human Services Department,19,17,T,A,3.0,1.0,7.0,1.0,0.0
87,Hispanic or Latino,M,Fire Department,41,43,R,A,3.0,0.0,5.0,0.0,0.0
88,Hispanic or Latino,M,Neighborhoods,54,48,R,A,3.0,0.0,18.0,0.0,0.0
89,Hispanic or Latino,F,Seattle Center,69,18,T,A,3.0,1.0,9.0,1.0,0.0
90,Hispanic or Latino,M,Seattle Public Utilities,36,51,R,A,3.0,0.0,3.0,0.0,0.0
91,Hispanic or Latino,M,Police Department,24,45,R,A,3.0,0.0,2.0,0.0,0.0
92,Hispanic or Latino,M,Police Department,32,44,R,A,3.0,0.0,2.0,0.0,0.0
93,Hispanic or Latino,F,Human Services Department,56,50,R,A,3.0,1.0,7.0,0.0,0.0
94,Hispanic or Latino,F,Parks & Recreation,20,19,T,A,3.0,1.0,0.0,1.0,0.0
95,Hispanic or Latino,M,Fire Department,26,34,R,A,3.0,0.0,5.0,0.0,0.0
96,Hispanic or Latino,M,Seattle Dept of Transportation,27,18,R,A,3.0,0.0,4.0,0.0,0.0
97,Hispanic or Latino,M,Parks & Recreation,42,18,T,A,3.0,0.0,0.0,1.0,0.0
98,Hispanic or Latino,F,Law Department,54,36,R,A,3.0,1.0,13.0,0.0,0.0
99,Hispanic or Latino,M,Information Technology,42,52,R,A,3.0,0.0,8.0,0.0,0.0
100,Hispanic or Latino,M,Seattle Public Utilities,46,41,R,A,3.0,0.0,3.0,0.0,0.0
101,Hispanic or Latino,F,Education & Early Learning,27,36,R,A,3.0,1.0,15.0,0.0,0.0
102,Hispanic or Latino,M,Seattle Public Utilities,26,42,R,A,3.0,0.0,3.0,0.0,0.0
103,Hispanic or Latino,F,Construction & Inspections,35,56,R,A,3.0,1.0,11.0,0.0,0.0
104,Hispanic or Latino,M,Parks & Recreation,26,26,R,A,3.0,0.0,0.0,0.0,0.0
105,Hispanic or Latino,M,Seattle City Light,33,67,R,A,3.0,0.0,1.0,0.0,0.0
106,Hispanic or Latino,M,Finance & Admin Services,47,34,R,A,3.0,0.0,10.0,0.0,0.0
107,Hispanic or Latino,M,Seattle Public Utilities,52,41,R,A,3.0,0.0,3.0,0.0,0.0
108,Hispanic or Latino,F,Law Department,37,39,R,A,3.0,1.0,13.0,0.0,0.0
109,Hispanic or Latino,M,Fire Department,46,44,R,A,3.0,0.0,5.0,0.0,0.0
110,Hispanic or Latino,M,Seattle Dept of Transportation,57,33,R,A,3.0,0.0,4.0,0.0,0.0
111,Hispanic or Latino,M,Police Department,32,54,R,A,3.0,0.0,2.0,0.0,0.0
112,Hispanic or Latino,M,Parks & Recreation,45,25,T,A,3.0,0.0,0.0,1.0,0.0
113,Hispanic or Latino,M,Seattle Dept of Transportation,56,35,R,A,3.0,0.0,4.0,0.0,0.0
114,Hispanic or Latino,M,Seattle Public Library,39,38,R,A,3.0,0.0,6.0,0.0,0.0
115,Hispanic or Latino,M,Seattle Public Utilities,54,67,R,A,3.0,0.0,3.0,0.0,0.0
116,Hispanic or Latino,M,Parks & Recreation,56,34,R,A,3.0,0.0,0.0,0.0,0.0
117,Hispanic or Latino,F,Seattle Public Library,65,28,R,A,3.0,1.0,6.0,0.0,0.0
118,Hispanic or Latino,M,Seattle Public Utilities,47,52,R,A,3.0,0.0,3.0,0.0,0.0
119,Hispanic or Latino,F,Office of Economic Development,38,38,R,A,3.0,1.0,20.0,0.0,0.0
120,Hispanic or Latino,M,Police Department,23,33,R,A,3.0,0.0,2.0,0.0,0.0
121,Hispanic or Latino,M,Parks & Recreation,62,25,T,A,3.0,0.0,0.0,1.0,0.0
122,Hispanic or Latino,M,Mayor's Office,29,43,R,A,3.0,0.0,24.0,0.0,0.0
123,Hispanic or Latino,M,Seattle Public Utilities,26,24,T,A,3.0,0.0,3.0,1.0,0.0
124,Hispanic or Latino,M,Seattle City Light,27,26,T,A,3.0,0.0,1.0,1.0,0.0
125,Hispanic or Latino,M,Finance & Admin Services,53,43,R,A,3.0,0.0,10.0,0.0,0.0
126,Hispanic or Latino,M,Human Services Department,55,46,R,A,3.0,0.0,7.0,0.0,0.0
127,Hispanic or Latino,M,Parks & Recreation,35,44,R,A,3.0,0.0,0.0,0.0,0.0
128,Hispanic or Latino,M,Human Services Department,53,42,R,A,3.0,0.0,7.0,0.0,0.0
129,Hispanic or Latino,F,Office of Inspector General,35,56,R,A,3.0,1.0,29.0,0.0,0.0
130,Hispanic or Latino,M,Seattle Dept of Transportation,26,34,R,A,3.0,0.0,4.0,0.0,0.0
131,Hispanic or Latino,F,Seattle City Light,23,19,T,A,3.0,1.0,1.0,1.0,0.0
132,Hispanic or Latino,M,Seattle Dept of Transportation,61,35,R,A,3.0,0.0,4.0,0.0,0.0
133,Hispanic or Latino,M,Fire Department,32,34,R,A,3.0,0.0,5.0,0.0,0.0
134,Hispanic or Latino,M,Construction & Inspections,56,46,R,A,3.0,0.0,11.0,0.0,0.0
135,Hispanic or Latino,F,Seattle City Light,51,57,R,A,3.0,1.0,1.0,0.0,0.0
136,Hispanic or Latino,M,Seattle Dept of Transportation,29,23,T,A,3.0,0.0,4.0,1.0,0.0
137,Hispanic or Latino,F,Parks & Recreation,21,18,T,A,3.0,1.0,0.0,1.0,0.0
138,Hispanic or Latino,M,Seattle City Light,61,55,R,A,3.0,0.0,1.0,0.0,0.0
139,Hispanic or Latino,M,Seattle City Light,32,34,R,A,3.0,0.0,1.0,0.0,0.0
140,Hispanic or Latino,M,Seattle Public Utilities,37,34,R,A,3.0,0.0,3.0,0.0,0.0
141,Hispanic or Latino,M,Fire Department,29,58,R,A,3.0,0.0,5.0,0.0,0.0
142,Hispanic or Latino,M,Seattle Public Library,52,53,R,A,3.0,0.0,6.0,0.0,0.0
143,Hispanic or Latino,M,Parks & Recreation,22,19,T,A,3.0,0.0,0.0,1.0,0.0
144,Hispanic or Latino,M,Ethics & Elections Commission,67,62,R,A,3.0,0.0,32.0,0.0,0.0
145,Hispanic or Latino,F,Seattle City Light,33,55,R,A,3.0,1.0,1.0,0.0,0.0
146,Hispanic or Latino,M,Seattle City Light,63,61,R,A,3.0,0.0,1.0,0.0,0.0
147,Hispanic or Latino,F,Seattle Public Utilities,37,44,R,A,3.0,1.0,3.0,0.0,0.0
148,Hispanic or Latino,M,Fire Department,32,38,R,A,3.0,0.0,5.0,0.0,0.0
149,Hispanic or Latino,M,Seattle Public Utilities,28,41,T,A,3.0,0.0,3.0,1.0,0.0
150,Hispanic or Latino,M,Fire Department,37,47,R,A,3.0,0.0,5.0,0.0,0.0
151,Hispanic or Latino,M,Human Services Department,43,58,R,A,3.0,0.0,7.0,0.0,0.0
152,Hispanic or Latino,F,Seattle Dept of Transportation,55,72,R,A,3.0,1.0,4.0,0.0,0.0
153,Hispanic or Latino,M,Fire Department,55,55,R,A,3.0,0.0,5.0,0.0,0.0
154,Hispanic or Latino,M,Parks & Recreation,39,25,T,A,3.0,0.0,0.0,1.0,0.0
155,Hispanic or Latino,M,Seattle Dept of Transportation,35,56,R,A,3.0,0.0,4.0,0.0,0.0
156,Hispanic or Latino,F,Seattle City Light,51,34,R,A,3.0,1.0,1.0,0.0,0.0
157,Hispanic or Latino,M,Seattle Center,57,23,T,A,3.0,0.0,9.0,1.0,0.0
158,Hispanic or Latino,F,Seattle City Light,31,57,R,A,3.0,1.0,1.0,0.0,0.0
159,Hispanic or Latino,M,Fire Department,29,36,R,A,3.0,0.0,5.0,0.0,0.0
160,Hispanic or Latino,M,Parks & Recreation,52,30,R,A,3.0,0.0,0.0,0.0,0.0
161,Hispanic or Latino,M,Seattle Center,42,23,T,A,3.0,0.0,9.0,1.0,0.0
162,Hispanic or Latino,F,Human Services Department,43,36,R,A,3.0,1.0,7.0,0.0,0.0
163,Hispanic or Latino,M,Municipal Court,48,50,R,A,3.0,0.0,12.0,0.0,0.0
164,Hispanic or Latino,F,Seattle Public Library,54,61,R,A,3.0,1.0,6.0,0.0,0.0
165,Hispanic or Latino,M,Seattle Public Library,28,40,R,A,3.0,0.0,6.0,0.0,0.0
166,Hispanic or Latino,M,Parks & Recreation,26,24,T,A,3.0,0.0,0.0,1.0,0.0
167,Hispanic or Latino,M,Fire Department,51,50,R,A,3.0,0.0,5.0,0.0,0.0
168,Hispanic or Latino,M,Seattle City Light,42,61,R,A,3.0,0.0,1.0,0.0,0.0
169,Hispanic or Latino,F,Sustainability & Environment,40,67,R,A,3.0,1.0,26.0,0.0,0.0
170,Hispanic or Latino,M,Seattle Dept of Transportation,51,72,R,A,3.0,0.0,4.0,0.0,0.0
171,Hispanic or Latino,M,Seattle Dept of Transportation,52,66,R,A,3.0,0.0,4.0,0.0,0.0
172,Hispanic or Latino,F,Seattle Dept of Transportation,21,19,T,A,3.0,1.0,4.0,1.0,0.0
173,Hispanic or Latino,M,Fire Department,29,36,R,A,3.0,0.0,5.0,0.0,0.0
174,Hispanic or Latino,M,Police Department,30,42,R,A,3.0,0.0,2.0,0.0,0.0
175,Hispanic or Latino,M,Fire Department,35,36,R,A,3.0,0.0,5.0,0.0,0.0
176,Hispanic or Latino,M,Fire Department,43,62,R,A,3.0,0.0,5.0,0.0,0.0
177,Hispanic or Latino,M,Seattle Public Utilities,25,28,R,A,3.0,0.0,3.0,0.0,0.0
178,Hispanic or Latino,M,Seattle City Light,61,58,R,A,3.0,0.0,1.0,0.0,0.0
179,Hispanic or Latino,F,Seattle Public Utilities,36,31,R,A,3.0,1.0,3.0,0.0,0.0
180,Hispanic or Latino,M,Fire Department,41,49,R,A,3.0,0.0,5.0,0.0,0.0
181,Hispanic or Latino,M,Police Department,47,141,R,A,3.0,0.0,2.0,0.0,0.0
182,Hispanic or Latino,M,Fire Department,45,35,R,A,3.0,0.0,5.0,0.0,0.0
183,Hispanic or Latino,F,Human Services Department,31,37,R,A,3.0,1.0,7.0,0.0,0.0
184,Hispanic or Latino,M,Seattle Public Utilities,51,37,R,A,3.0,0.0,3.0,0.0,0.0
185,Hispanic or Latino,M,Seattle City Light,62,69,R,A,3.0,0.0,1.0,0.0,0.0
186,Hispanic or Latino,F,Police Department,37,33,R,A,3.0,1.0,2.0,0.0,0.0
187,Hispanic or Latino,F,Parks & Recreation,27,20,T,A,3.0,1.0,0.0,1.0,0.0
188,Hispanic or Latino,M,Seattle Dept of Transportation,39,38,R,A,3.0,0.0,4.0,0.0,0.0
189,Hispanic or Latino,M,Information Technology,62,36,R,A,3.0,0.0,8.0,0.0,0.0
190,Hispanic or Latino,F,Neighborhoods,32,55,R,A,3.0,1.0,18.0,0.0,0.0
191,Hispanic or Latino,M,Police Department,27,45,R,A,3.0,0.0,2.0,0.0,0.0
192,Hispanic or Latino,M,Seattle Public Utilities,29,49,R,A,3.0,0.0,3.0,0.0,0.0
193,Hispanic or Latino,M,Commnty Sfty and Comm Ctr Dept,36,60,R,A,3.0,0.0,14.0,0.0,0.0
194,Hispanic or Latino,M,Fire Department,36,38,R,A,3.0,0.0,5.0,0.0,0.0
195,Hispanic or Latino,F,Parks & Recreation,56,20,R,A,3.0,1.0,0.0,0.0,0.0
196,Hispanic or Latino,M,Fire Department,20,34,R,A,3.0,0.0,5.0,0.0,0.0
197,Hispanic or Latino,F,Office for Civil Rights,29,29,R,L,3.0,1.0,25.0,0.0,1.0
198,Hispanic or Latino,F,Arts & Culture,71,48,R,A,3.0,1.0,22.0,0.0,0.0
199,Hispanic or Latino,M,Seattle Public Library,55,28,R,A,3.0,0.0,6.0,0.0,0.0
200,Hispanic or Latino,M,Parks & Recreation,51,38,R,A,3.0,0.0,0.0,0.0,0.0
201,Hispanic or Latino,M,Seattle Dept of Transportation,64,61,R,A,3.0,0.0,4.0,0.0,0.0
202,Hispanic or Latino,F,Education & Early Learning,38,38,R,A,3.0,1.0,15.0,0.0,0.0
203,Hispanic or Latino,M,Parks & Recreation,46,37,R,A,3.0,0.0,0.0,0.0,0.0
204,Hispanic or Latino,F,Parks & Recreation,26,18,T,A,3.0,1.0,0.0,1.0,0.0
205,Hispanic or Latino,M,Seattle City Light,64,34,R,A,3.0,0.0,1.0,0.0,0.0
206,Hispanic or Latino,M,Seattle Public Utilities,25,26,T,A,3.0,0.0,3.0,1.0,0.0
207,Hispanic or Latino,F,Office for Civil Rights,30,42,R,A,3.0,1.0,25.0,0.0,0.0
208,Hispanic or Latino,M,Municipal Court,32,31,R,A,3.0,0.0,12.0,0.0,0.0
209,Hispanic or Latino,M,Human Services Department,72,46,R,A,3.0,0.0,7.0,0.0,0.0
210,Hispanic or Latino,M,Seattle City Light,65,52,R,A,3.0,0.0,1.0,0.0,0.0
211,Hispanic or Latino,F,Seattle Dept of Transportation,28,56,R,A,3.0,1.0,4.0,0.0,0.0
212,Hispanic or Latino,M,Fire Department,33,43,R,A,3.0,0.0,5.0,0.0,0.0
213,Hispanic or Latino,M,Parks & Recreation,19,19,T,A,3.0,0.0,0.0,1.0,0.0
214,Hispanic or Latino,F,Finance & Admin Services,33,31,R,A,3.0,1.0,10.0,0.0,0.0
215,Hispanic or Latino,F,Office of Inspector General,34,48,R,A,3.0,1.0,29.0,0.0,0.0
216,Hispanic or Latino,F,Seattle Dept of Transportation,30,53,R,A,3.0,1.0,4.0,0.0,0.0
217,Hispanic or Latino,M,Fire Department,33,50,R,A,3.0,0.0,5.0,0.0,0.0
218,Hispanic or Latino,M,Police Department,37,57,R,A,3.0,0.0,2.0,0.0,0.0
219,Hispanic or Latino,M,Seattle Public Utilities,53,38,R,A,3.0,0.0,3.0,0.0,0.0
220,Hispanic or Latino,F,Parks & Recreation,22,19,T,A,3.0,1.0,0.0,1.0,0.0
221,Hispanic or Latino,M,Human Services Department,55,42,R,A,3.0,0.0,7.0,0.0,0.0
222,Hispanic or Latino,F,Seattle Center,54,18,T,A,3.0,1.0,9.0,1.0,0.0
223,Hispanic or Latino,F,Seattle Public Library,55,43,R,A,3.0,1.0,6.0,0.0,0.0
224,Hispanic or Latino,F,Education & Early Learning,33,29,R,A,3.0,1.0,15.0,0.0,0.0
225,Hispanic or Latino,M,Parks & Recreation,27,20,T,A,3.0,0.0,0.0,1.0,0.0
226,Hispanic or Latino,F,Parks & Recreation,26,18,T,A,3.0,1.0,0.0,1.0,0.0
227,Hispanic or Latino,F,Seattle Dept of Transportation,54,46,R,A,3.0,1.0,4.0,0.0,0.0
228,Hispanic or Latino,M,Seattle Public Utilities,33,26,T,A,3.0,0.0,3.0,1.0,0.0
229,Hispanic or Latino,M,Parks & Recreation,32,30,R,A,3.0,0.0,0.0,0.0,0.0
230,Hispanic or Latino,F,Seattle Center,67,23,T,A,3.0,1.0,9.0,1.0,0.0
231,Hispanic or Latino,F,Police Department,31,45,R,A,3.0,1.0,2.0,0.0,0.0
232,Hispanic or Latino,M,Parks & Recreation,56,37,R,A,3.0,0.0,0.0,0.0,0.0
233,Hispanic or Latino,F,Seattle Center,61,36,T,A,3.0,1.0,9.0,1.0,0.0
234,Hispanic or Latino,F,Human Services Department,17,17,T,A,3.0,1.0,7.0,1.0,0.0
235,Hispanic or Latino,F,Human Services Department,28,24,T,A,3.0,1.0,7.0,1.0,0.0
236,Hispanic or Latino,M,Parks & Recreation,58,29,R,A,3.0,0.0,0.0,0.0,0.0
237,Hispanic or Latino,F,Seattle Center,46,18,T,A,3.0,1.0,9.0,1.0,0.0
238,Hispanic or Latino,M,Mayor's Office,37,67,R,A,3.0,0.0,24.0,0.0,0.0
239,Hispanic or Latino,F,Information Technology,49,54,R,A,3.0,1.0,8.0,0.0,0.0
240,Hispanic or Latino,F,Legislative Department,24,33,R,A,3.0,1.0,17.0,0.0,0.0
241,Hispanic or Latino,M,Seattle Public Utilities,42,46,R,A,3.0,0.0,3.0,0.0,0.0
242,Hispanic or Latino,F,Legislative Department,61,57,R,A,3.0,1.0,17.0,0.0,0.0
243,Hispanic or Latino,F,Finance & Admin Services,34,29,R,A,3.0,1.0,10.0,0.0,0.0
244,Hispanic or Latino,F,Finance & Admin Services,37,29,R,A,3.0,1.0,10.0,0.0,0.0
245,Hispanic or Latino,F,Parks & Recreation,45,18,T,A,3.0,1.0,0.0,1.0,0.0
246,Hispanic or Latino,M,Seattle City Light,50,71,R,A,3.0,0.0,1.0,0.0,0.0
247,Hispanic or Latino,F,Commnty Sfty and Comm Ctr Dept,46,36,R,A,3.0,1.0,14.0,0.0,0.0
248,Hispanic or Latino,M,Seattle Dept of Transportation,53,36,R,A,3.0,0.0,4.0,0.0,0.0
249,Hispanic or Latino,M,Information Technology,50,61,R,A,3.0,0.0,8.0,0.0,0.0
250,Hispanic or Latino,F,Human Services Department,44,39,R,A,3.0,1.0,7.0,0.0,0.0
251,Hispanic or Latino,M,Police Department,56,60,R,A,3.0,0.0,2.0,0.0,0.0
252,Hispanic or Latino,F,Municipal Court,54,29,R,A,3.0,1.0,12.0,0.0,0.0
253,Hispanic or Latino,M,Seattle Dept of Transportation,43,56,R,A,3.0,0.0,4.0,0.0,0.0
254,Hispanic or Latino,M,Police Department,50,60,R,A,3.0,0.0,2.0,0.0,0.0
255,Hispanic or Latino,M,Police Department,26,33,R,A,3.0,0.0,2.0,0.0,0.0
256,Hispanic or Latino,M,Parks & Recreation,21,23,T,A,3.0,0.0,0.0,1.0,0.0
257,Hispanic or Latino,M,Finance & Admin Services,51,63,T,A,3.0,0.0,10.0,1.0,0.0
258,Hispanic or Latino,M,Police Department,30,47,R,A,3.0,0.0,2.0,0.0,0.0
259,Hispanic or Latino,M,Information Technology,35,61,R,A,3.0,0.0,8.0,0.0,0.0
260,Hispanic or Latino,F,Seattle Center,57,61,R,A,3.0,1.0,9.0,0.0,0.0
261,Hispanic or Latino,M,Fire Department,36,46,R,A,3.0,0.0,5.0,0.0,0.0
262,Hispanic or Latino,M,Construction & Inspections,58,78,R,A,3.0,0.0,11.0,0.0,0.0
263,Hispanic or Latino,M,Parks & Recreation,29,27,T,A,3.0,0.0,0.0,1.0,0.0
264,Hispanic or Latino,M,Finance & Admin Services,33,48,R,A,3.0,0.0,10.0,0.0,0.0
265,Hispanic or Latino,F,Seattle Dept of Human Resource,33,54,R,A,3.0,1.0,16.0,0.0,0.0
266,Hispanic or Latino,M,Finance & Admin Services,23,38,R,A,3.0,0.0,10.0,0.0,0.0
267,Hispanic or Latino,M,Police Department,39,56,R,A,3.0,0.0,2.0,0.0,0.0
268,Hispanic or Latino,F,Finance & Admin Services,51,58,R,A,3.0,1.0,10.0,0.0,0.0
269,Hispanic or Latino,M,Seattle City Light,54,48,R,A,3.0,0.0,1.0,0.0,0.0
270,Hispanic or Latino,F,Seattle Public Library,25,33,R,A,3.0,1.0,6.0,0.0,0.0
271,Hispanic or Latino,M,Fire Department,43,36,R,A,3.0,0.0,5.0,0.0,0.0
