Race/Ethnicity,Sex,Department,Age,Hourly Rate,Regular/Temporary,Employee Status
Hispanic or Latino,M,Seattle Dept of Transportation,66,36.33,R,A
Hispanic or Latino,M,Police Department,58,69.71,R,A
Hispanic or Latino,M,Seattle Public Utilities,49,57.87,R,A
Hispanic or Latino,M,Municipal Court,74,45,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,20,30.09,T,A
Hispanic or Latino,F,Commnty Sfty and Comm Ctr Dept,44,36.31,R,A
Hispanic or Latino,F,Human Services Department,16,17.27,T,A
Hispanic or Latino,M,Seattle City Light,20,24.78,T,A
Hispanic or Latino,F,Seattle City Light,50,63.515,R,A
Hispanic or Latino,M,Seattle City Light,61,42.92,R,A
Hispanic or Latino,F,Commnty Sfty and Comm Ctr Dept,27,39.22,R,A
Hispanic or Latino,F,Human Services Department,19,17.27,T,A
Hispanic or Latino,M,Fire Department,41,43.15,R,A
Hispanic or Latino,M,Neighborhoods,54,48.48,R,A
Hispanic or Latino,F,Seattle Center,69,18.56,T,A
Hispanic or Latino,M,Seattle Public Utilities,36,51.32,R,A
Hispanic or Latino,M,Police Department,24,45.96,R,A
Hispanic or Latino,M,Police Department,32,44.01,R,A
Hispanic or Latino,F,Human Services Department,56,50.43,R,A
Hispanic or Latino,F,Parks & Recreation,20,19.51,T,A
Hispanic or Latino,M,Fire Department,26,34.81,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,27,18.56,R,A
Hispanic or Latino,M,Parks & Recreation,42,18.56,T,A
Hispanic or Latino,F,Law Department,54,36.47,R,A
Hispanic or Latino,M,Information Technology,42,52,R,A
Hispanic or Latino,M,Seattle Public Utilities,46,41.61,R,A
Hispanic or Latino,F,Education & Early Learning,27,36.47,R,A
Hispanic or Latino,M,Seattle Public Utilities,26,42.61,R,A
Hispanic or Latino,F,Construction & Inspections,35,56.25,R,A
Hispanic or Latino,M,Parks & Recreation,26,26.24,R,A
Hispanic or Latino,M,Seattle City Light,33,67.7903,R,A
Hispanic or Latino,M,Finance & Admin Services,47,34.15,R,A
Hispanic or Latino,M,Seattle Public Utilities,52,41.63,R,A
Hispanic or Latino,F,Law Department,37,39.28,R,A
Hispanic or Latino,M,Fire Department,46,44.82,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,57,33.78,R,A
Hispanic or Latino,M,Police Department,32,54.6913,R,A
Hispanic or Latino,M,Parks & Recreation,45,25.58,T,A
Hispanic or Latino,M,Seattle Dept of Transportation,56,35.46,R,A
Hispanic or Latino,M,Seattle Public Library,39,38.42,R,A
Hispanic or Latino,M,Seattle Public Utilities,54,67.49,R,A
Hispanic or Latino,M,Parks & Recreation,56,34.08,R,A
Hispanic or Latino,F,Seattle Public Library,65,28.5,R,A
Hispanic or Latino,M,Seattle Public Utilities,47,52.41,R,A
Hispanic or Latino,F,Office of Economic Development,38,38.57,R,A
Hispanic or Latino,M,Police Department,23,33.44,R,A
Hispanic or Latino,M,Parks & Recreation,62,25.58,T,A
Hispanic or Latino,M,Mayor's Office,29,43.104,R,A
Hispanic or Latino,M,Seattle Public Utilities,26,24.92,T,A
Hispanic or Latino,M,Seattle City Light,27,26.05,T,A
Hispanic or Latino,M,Finance & Admin Services,53,43.49,R,A
Hispanic or Latino,M,Human Services Department,55,46.68,R,A
Hispanic or Latino,M,Parks & Recreation,35,44.65,R,A
Hispanic or Latino,M,Human Services Department,53,42.57,R,A
Hispanic or Latino,F,Office of Inspector General,35,56.586,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,26,34.94,R,A
Hispanic or Latino,F,Seattle City Light,23,19.09,T,A
Hispanic or Latino,M,Seattle Dept of Transportation,61,35.46,R,A
Hispanic or Latino,M,Fire Department,32,34.81,R,A
Hispanic or Latino,M,Construction & Inspections,56,46.51,R,A
Hispanic or Latino,F,Seattle City Light,51,57.38,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,29,23.4,T,A
Hispanic or Latino,F,Parks & Recreation,21,18.56,T,A
Hispanic or Latino,M,Seattle City Light,61,55.63,R,A
Hispanic or Latino,M,Seattle City Light,32,34.35,R,A
Hispanic or Latino,M,Seattle Public Utilities,37,34.08,R,A
Hispanic or Latino,M,Fire Department,29,58.15,R,A
Hispanic or Latino,M,Seattle Public Library,52,53.47,R,A
Hispanic or Latino,M,Parks & Recreation,22,19.64,T,A
Hispanic or Latino,M,Ethics & Elections Commission,67,62.218,R,A
Hispanic or Latino,F,Seattle City Light,33,55.44,R,A
Hispanic or Latino,M,Seattle City Light,63,61.86,R,A
Hispanic or Latino,F,Seattle Public Utilities,37,44.95,R,A
Hispanic or Latino,M,Fire Department,32,38.98,R,A
Hispanic or Latino,M,Seattle Public Utilities,28,41.66,T,A
Hispanic or Latino,M,Fire Department,37,47.31,R,A
Hispanic or Latino,M,Human Services Department,43,58.861,R,A
Hispanic or Latino,F,Seattle Dept of Transportation,55,72.75,R,A
Hispanic or Latino,M,Fire Department,55,55.15,R,A
Hispanic or Latino,M,Parks & Recreation,39,25.58,T,A
Hispanic or Latino,M,Seattle Dept of Transportation,35,56.52,R,A
Hispanic or Latino,F,Seattle City Light,51,34.6,R,A
Hispanic or Latino,M,Seattle Center,57,23.14,T,A
Hispanic or Latino,F,Seattle City Light,31,57.4713,R,A
Hispanic or Latino,M,Fire Department,29,36.9,R,A
Hispanic or Latino,M,Parks & Recreation,52,30.09,R,A
Hispanic or Latino,M,Seattle Center,42,23.14,T,A
Hispanic or Latino,F,Human Services Department,43,36.47,R,A
Hispanic or Latino,M,Municipal Court,48,50.63,R,A
Hispanic or Latino,F,Seattle Public Library,54,61.85,R,A
Hispanic or Latino,M,Seattle Public Library,28,40.66,R,A
Hispanic or Latino,M,Parks & Recreation,26,24.82,T,A
Hispanic or Latino,M,Fire Department,51,50.86,R,A
Hispanic or Latino,M,Seattle City Light,42,61.86,R,A
Hispanic or Latino,F,Sustainability & Environment,40,67.69,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,51,72.75,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,52,66.35,R,A
Hispanic or Latino,F,Seattle Dept of Transportation,21,19.09,T,A
Hispanic or Latino,M,Fire Department,29,36.9,R,A
Hispanic or Latino,M,Police Department,30,42.96,R,A
Hispanic or Latino,M,Fire Department,35,36.9,R,A
Hispanic or Latino,M,Fire Department,43,62.77,R,A
Hispanic or Latino,M,Seattle Public Utilities,25,28.7,R,A
Hispanic or Latino,M,Seattle City Light,61,58.71,R,A
Hispanic or Latino,F,Seattle Public Utilities,36,31.35,R,A
Hispanic or Latino,M,Fire Department,41,49.82,R,A
Hispanic or Latino,M,Police Department,47,141.273,R,A
Hispanic or Latino,M,Fire Department,45,35.05,R,A
Hispanic or Latino,F,Human Services Department,31,37.84,R,A
Hispanic or Latino,M,Seattle Public Utilities,51,37.32,R,A
Hispanic or Latino,M,Seattle City Light,62,69.6,R,A
Hispanic or Latino,F,Police Department,37,33.44,R,A
Hispanic or Latino,F,Parks & Recreation,27,20.75,T,A
Hispanic or Latino,M,Seattle Dept of Transportation,39,38.31,R,A
Hispanic or Latino,M,Information Technology,62,36.99,R,A
Hispanic or Latino,F,Neighborhoods,32,55.57,R,A
Hispanic or Latino,M,Police Department,27,45.96,R,A
Hispanic or Latino,M,Seattle Public Utilities,29,49.75,R,A
Hispanic or Latino,M,Commnty Sfty and Comm Ctr Dept,36,60,R,A
Hispanic or Latino,M,Fire Department,36,38.98,R,A
Hispanic or Latino,F,Parks & Recreation,56,20.75,R,A
Hispanic or Latino,M,Fire Department,20,34.81,R,A
Hispanic or Latino,F,Office for Civil Rights,29,29.03,R,L
Hispanic or Latino,F,Arts & Culture,71,48.48,R,A
Hispanic or Latino,M,Seattle Public Library,55,28.5,R,A
Hispanic or Latino,M,Parks & Recreation,51,38.95,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,64,61.15,R,A
Hispanic or Latino,F,Education & Early Learning,38,38.57,R,A
Hispanic or Latino,M,Parks & Recreation,46,37.84,R,A
Hispanic or Latino,F,Parks & Recreation,26,18.56,T,A
Hispanic or Latino,M,Seattle City Light,64,34.47,R,A
Hispanic or Latino,M,Seattle Public Utilities,25,26.33,T,A
Hispanic or Latino,F,Office for Civil Rights,30,42.43,R,A
Hispanic or Latino,M,Municipal Court,32,31.35,R,A
Hispanic or Latino,M,Human Services Department,72,46.68,R,A
Hispanic or Latino,M,Seattle City Light,65,52.23,R,A
Hispanic or Latino,F,Seattle Dept of Transportation,28,56.5,R,A
Hispanic or Latino,M,Fire Department,33,43.98,R,A
Hispanic or Latino,M,Parks & Recreation,19,19.51,T,A
Hispanic or Latino,F,Finance & Admin Services,33,31.35,R,A
Hispanic or Latino,F,Office of Inspector General,34,48.3717,R,A
Hispanic or Latino,F,Seattle Dept of Transportation,30,53.2,R,A
Hispanic or Latino,M,Fire Department,33,50.23,R,A
Hispanic or Latino,M,Police Department,37,57.44,R,A
Hispanic or Latino,M,Seattle Public Utilities,53,38.83,R,A
Hispanic or Latino,F,Parks & Recreation,22,19.51,T,A
Hispanic or Latino,M,Human Services Department,55,42.57,R,A
Hispanic or Latino,F,Seattle Center,54,18.56,T,A
Hispanic or Latino,F,Seattle Public Library,55,43.24,R,A
Hispanic or Latino,F,Education & Early Learning,33,29.03,R,A
Hispanic or Latino,M,Parks & Recreation,27,20.75,T,A
Hispanic or Latino,F,Parks & Recreation,26,18.56,T,A
Hispanic or Latino,F,Seattle Dept of Transportation,54,46.29,R,A
Hispanic or Latino,M,Seattle Public Utilities,33,26.33,T,A
Hispanic or Latino,M,Parks & Recreation,32,30.09,R,A
Hispanic or Latino,F,Seattle Center,67,23.14,T,A
Hispanic or Latino,F,Police Department,31,45.96,R,A
Hispanic or Latino,M,Parks & Recreation,56,37.29,R,A
Hispanic or Latino,F,Seattle Center,61,36.05,T,A
Hispanic or Latino,F,Human Services Department,17,17.27,T,A
Hispanic or Latino,F,Human Services Department,28,24.11,T,A
Hispanic or Latino,M,Parks & Recreation,58,29.03,R,A
Hispanic or Latino,F,Seattle Center,46,18.56,T,A
Hispanic or Latino,M,Mayor's Office,37,67.05,R,A
Hispanic or Latino,F,Information Technology,49,54.209,R,A
Hispanic or Latino,F,Legislative Department,24,33.59,R,A
Hispanic or Latino,M,Seattle Public Utilities,42,46.25,R,A
Hispanic or Latino,F,Legislative Department,61,57.55,R,A
Hispanic or Latino,F,Finance & Admin Services,34,29.45,R,A
Hispanic or Latino,F,Finance & Admin Services,37,29.45,R,A
Hispanic or Latino,F,Parks & Recreation,45,18.56,T,A
Hispanic or Latino,M,Seattle City Light,50,71.8,R,A
Hispanic or Latino,F,Commnty Sfty and Comm Ctr Dept,46,36.31,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,53,36.31,R,A
Hispanic or Latino,M,Information Technology,50,61.618,R,A
Hispanic or Latino,F,Human Services Department,44,39.28,R,A
Hispanic or Latino,M,Police Department,56,60.31,R,A
Hispanic or Latino,F,Municipal Court,54,29.03,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,43,56.52,R,A
Hispanic or Latino,M,Police Department,50,60.58,R,A
Hispanic or Latino,M,Police Department,26,33.44,R,A
Hispanic or Latino,M,Parks & Recreation,21,23.62,T,A
Hispanic or Latino,M,Finance & Admin Services,51,63.142,T,A
Hispanic or Latino,M,Police Department,30,47.69,R,A
Hispanic or Latino,M,Information Technology,35,61.665,R,A
Hispanic or Latino,F,Seattle Center,57,61.936,R,A
Hispanic or Latino,M,Fire Department,36,46.48,R,A
Hispanic or Latino,M,Construction & Inspections,58,78.122,R,A
Hispanic or Latino,M,Parks & Recreation,29,27.46,T,A
Hispanic or Latino,M,Finance & Admin Services,33,48.753,R,A
Hispanic or Latino,F,Seattle Dept of Human Resource,33,54.34,R,A
Hispanic or Latino,M,Finance & Admin Services,23,38.29,R,A
Hispanic or Latino,M,Police Department,39,56.39,R,A
Hispanic or Latino,F,Finance & Admin Services,51,58.55,R,A
Hispanic or Latino,M,Seattle City Light,54,48.31,R,A
Hispanic or Latino,F,Seattle Public Library,25,33.25,R,A
Hispanic or Latino,M,Fire Department,43,36.9,R,A
Hispanic or Latino,M,Police Department,30,55.34,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,50,30.09,T,A
Hispanic or Latino,M,Seattle Public Library,62,46.07,R,A
Hispanic or Latino,M,Seattle City Light,51,69.6,R,A
Hispanic or Latino,M,Seattle Public Utilities,37,33.75,R,A
Hispanic or Latino,F,Parks & Recreation,53,19.64,T,A
Hispanic or Latino,M,Information Technology,67,62.859,R,A
Hispanic or Latino,M,Police Department,57,100.5,R,A
Hispanic or Latino,F,Seattle Dept of Transportation,28,61.387,T,A
Hispanic or Latino,M,Police Department,53,88.08,R,A
Hispanic or Latino,F,Seattle City Light,37,55.44,R,A
Hispanic or Latino,F,Human Services Department,31,51.39,R,A
Hispanic or Latino,M,Parks & Recreation,55,27.19,R,A
Hispanic or Latino,M,Parks & Recreation,42,35.05,R,A
Hispanic or Latino,M,Parks & Recreation,51,32.85,R,A
Hispanic or Latino,M,Information Technology,69,62.364,R,A
Hispanic or Latino,F,Seattle Public Utilities,58,38.07,R,A
Hispanic or Latino,M,Seattle City Light,61,61.86,R,A
Hispanic or Latino,M,Finance & Admin Services,52,43.49,R,A
Hispanic or Latino,F,Seattle Public Utilities,35,55.44,R,A
Hispanic or Latino,F,Parks & Recreation,34,25.58,T,A
Hispanic or Latino,M,Fire Department,36,49.49,R,A
Hispanic or Latino,M,Seattle Center,57,25.58,T,A
Hispanic or Latino,F,Office of Economic Development,30,39.28,T,A
Hispanic or Latino,M,Seattle Public Utilities,22,32.67,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,38,30.09,T,A
Hispanic or Latino,M,Seattle Dept of Transportation,39,55.44,R,A
Hispanic or Latino,M,Seattle City Light,45,31.35,R,A
Hispanic or Latino,F,Seattle Center,55,38.86,R,A
Hispanic or Latino,F,Seattle Public Utilities,46,38,R,A
Hispanic or Latino,F,Information Technology,39,62.815,R,A
Hispanic or Latino,F,Legislative Department,53,65.82,R,A
Hispanic or Latino,F,Human Services Department,38,49.49,R,A
Hispanic or Latino,F,Office of Inspector General,43,71.8391,R,A
Hispanic or Latino,F,Information Technology,55,75.984,R,A
Hispanic or Latino,M,Parks & Recreation,61,30.09,R,A
Hispanic or Latino,M,Seattle City Light,36,47.62,R,A
Hispanic or Latino,F,Parks & Recreation,26,21.05,T,A
Hispanic or Latino,F,Construction & Inspections,47,44.95,R,A
Hispanic or Latino,M,Fire Department,28,38.98,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,40,35.16,R,A
Hispanic or Latino,F,Information Technology,35,57.55,R,A
Hispanic or Latino,F,Neighborhoods,45,33.78,R,A
Hispanic or Latino,F,Seattle Public Utilities,36,32.48,R,A
Hispanic or Latino,F,Seattle Center,64,29.33,R,A
Hispanic or Latino,F,Seattle Public Utilities,34,27.6,R,A
Hispanic or Latino,F,Legislative Department,52,68.4752,R,A
Hispanic or Latino,F,Parks & Recreation,52,19.29,R,A
Hispanic or Latino,F,Police Department,27,47.69,R,A
Hispanic or Latino,M,Office of Labor Standards,27,42.43,R,A
Hispanic or Latino,M,Construction & Inspections,27,66.617,R,A
Hispanic or Latino,M,Seattle City Light,43,24.11,T,A
Hispanic or Latino,F,Parks & Recreation,20,19.51,T,A
Hispanic or Latino,M,Parks & Recreation,60,32.85,R,A
Hispanic or Latino,F,Police Department,25,36.64,R,A
Hispanic or Latino,F,Office of Labor Standards,51,61.11,R,A
Hispanic or Latino,M,Police Department,32,44.01,R,A
Hispanic or Latino,F,Parks & Recreation,52,46.38,R,A
Hispanic or Latino,M,Fire Department,34,41.06,R,A
Hispanic or Latino,M,Seattle City Light,27,31.7,R,A
Hispanic or Latino,M,Finance & Admin Services,33,34.15,R,A
Hispanic or Latino,M,Seattle City Light,48,45.96,R,A
Hispanic or Latino,M,Seattle City Light,52,63.32,R,A
Hispanic or Latino,M,Finance & Admin Services,44,43.16,R,A
Hispanic or Latino,F,Seattle Public Utilities,41,58.182,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,45,32.45,R,A
Hispanic or Latino,M,Seattle Public Utilities,70,54.4,R,A
Hispanic or Latino,M,Parks & Recreation,24,22.86,T,A
Hispanic or Latino,M,Finance & Admin Services,65,53.082,R,A
Hispanic or Latino,M,Seattle Public Utilities,54,67.0891,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,38,66.35,R,A
Hispanic or Latino,M,Police Department,34,50.03,R,A
Hispanic or Latino,F,City Auditor,37,65.6878,R,A
Hispanic or Latino,F,Seattle Public Utilities,61,64.67,R,A
Hispanic or Latino,M,Fire Department,32,36.9,R,A
Hispanic or Latino,F,Law Department,25,35.469,T,A
Hispanic or Latino,M,Seattle Public Utilities,48,39.59,R,A
Hispanic or Latino,M,Seattle Center,30,30.51,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,43,51.32,R,A
Hispanic or Latino,M,Finance & Admin Services,32,31.86,R,A
Hispanic or Latino,M,Fire Department,61,53.15,R,A
Hispanic or Latino,F,Human Services Department,48,50.43,R,A
Hispanic or Latino,M,Seattle Public Utilities,33,38.81,R,A
Hispanic or Latino,M,Seattle Public Utilities,50,37.32,R,A
Hispanic or Latino,F,Seattle Public Utilities,66,87.623,R,A
Hispanic or Latino,M,Police Department,53,63.46,R,A
Hispanic or Latino,F,Parks & Recreation,31,24.82,T,A
Hispanic or Latino,F,Fire Department,55,58.68,R,A
Hispanic or Latino,M,Seattle Public Utilities,25,41.66,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,34,19.09,T,A
Hispanic or Latino,M,Seattle Dept of Transportation,46,37.29,R,A
Hispanic or Latino,F,Parks & Recreation,19,19.51,T,A
Hispanic or Latino,F,Employees' Retirement System,42,58.765,R,A
Hispanic or Latino,M,Information Technology,23,49.44,R,A
Hispanic or Latino,F,Information Technology,38,57.791,R,A
Hispanic or Latino,F,Seattle Public Utilities,30,47.51,R,A
Hispanic or Latino,M,Police Department,56,60.58,R,A
Hispanic or Latino,F,Parks & Recreation,30,30.72,T,A
Hispanic or Latino,M,Seattle City Light,47,69.6,R,A
Hispanic or Latino,M,Seattle Public Utilities,37,38.95,T,A
Hispanic or Latino,F,Legislative Department,42,69.26,R,A
Hispanic or Latino,F,Human Services Department,20,17.27,T,A
Hispanic or Latino,F,Seattle Public Utilities,30,46.68,R,A
Hispanic or Latino,M,Fire Department,50,54.19,R,A
Hispanic or Latino,M,Seattle City Light,43,61,R,A
Hispanic or Latino,F,Parks & Recreation,31,21.9,T,A
Hispanic or Latino,F,Parks & Recreation,37,26.24,R,A
Hispanic or Latino,M,Information Technology,49,61.289,R,A
Hispanic or Latino,M,Seattle Center,39,36.05,T,A
Hispanic or Latino,F,Parks & Recreation,33,20.75,T,A
Hispanic or Latino,M,Seattle Public Utilities,36,58.36,R,A
Hispanic or Latino,F,Seattle Public Utilities,67,63.98,R,A
Hispanic or Latino,M,Police Department,49,45.58,R,A
Hispanic or Latino,F,Parks & Recreation,40,20.75,T,A
Hispanic or Latino,M,Police Department,46,60.06,R,A
Hispanic or Latino,F,Education & Early Learning,31,33.78,R,A
Hispanic or Latino,M,Fire Department,37,34.81,R,A
Hispanic or Latino,M,Human Services Department,16,17.27,T,A
Hispanic or Latino,M,Fire Department,23,34.81,R,A
Hispanic or Latino,M,Seattle City Light,51,42.44,R,A
Hispanic or Latino,M,Seattle City Light,42,66.14,R,A
Hispanic or Latino,M,Police Department,54,34.09,R,A
Hispanic or Latino,F,Office of Economic Development,34,49.35,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,59,38.83,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,61,30.09,R,A
Hispanic or Latino,M,Seattle City Light,24,55.68,R,A
Hispanic or Latino,M,Police Department,30,45.96,R,A
Hispanic or Latino,M,Fire Department,35,34.81,R,A
Hispanic or Latino,F,Parks & Recreation,22,18.56,T,A
Hispanic or Latino,F,Parks & Recreation,66,43.34,R,A
Hispanic or Latino,F,Seattle Public Utilities,49,55.44,R,A
Hispanic or Latino,F,Seattle City Light,51,60.23,R,A
Hispanic or Latino,F,Seattle Dept of Transportation,26,30.09,T,A
Hispanic or Latino,F,Municipal Court,44,50.63,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,32,35.16,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,43,35.16,R,A
Hispanic or Latino,M,Parks & Recreation,23,18.56,T,A
Hispanic or Latino,F,Seattle Public Utilities,50,49.49,R,A
Hispanic or Latino,M,Fire Department,39,48.56,R,A
Hispanic or Latino,F,Seattle Center,53,23.14,T,A
Hispanic or Latino,F,Police Department,36,53.5,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,24,30.09,R,A
Hispanic or Latino,M,Fire Department,30,45.23,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,49,61,T,A
Hispanic or Latino,F,Seattle Public Library,27,31.68,R,A
Hispanic or Latino,M,Police Department,50,86.33,R,A
Hispanic or Latino,M,Seattle Public Utilities,39,39.59,R,A
Hispanic or Latino,M,Seattle Public Utilities,25,30.09,R,A
Hispanic or Latino,M,Police Department,44,64.696,R,A
Hispanic or Latino,M,Fire Department,44,46.48,R,A
Hispanic or Latino,F,Arts & Culture,53,71.488,R,A
Hispanic or Latino,F,Human Services Department,44,39.28,R,A
Hispanic or Latino,F,Information Technology,30,44.14,R,A
Hispanic or Latino,M,Seattle City Light,39,42.44,R,A
Hispanic or Latino,M,Police Department,32,53.5,R,A
Hispanic or Latino,F,Seattle City Light,27,29.45,R,A
Hispanic or Latino,F,Information Technology,37,74.914,R,A
Hispanic or Latino,F,Seattle Public Library,43,37.99,R,A
Hispanic or Latino,F,Seattle Center,51,31.35,R,A
Hispanic or Latino,F,City Auditor,62,82.6102,R,A
Hispanic or Latino,F,Education & Early Learning,34,31.86,R,A
Hispanic or Latino,F,Seattle Dept of Transportation,31,37.84,R,A
Hispanic or Latino,M,Seattle Center,47,35.26,R,A
Hispanic or Latino,F,Seattle Public Library,64,52.18,R,A
Hispanic or Latino,M,Seattle Public Library,23,25.81,R,A
Hispanic or Latino,M,Finance & Admin Services,43,41.38,R,A
Hispanic or Latino,M,Information Technology,51,61.101,R,A
Hispanic or Latino,M,Seattle Public Utilities,29,32.49,R,A
Hispanic or Latino,M,Fire Department,30,36.9,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,27,30.09,R,A
Hispanic or Latino,M,Seattle Public Library,34,30.72,R,A
Hispanic or Latino,F,Finance & Admin Services,53,31.7,R,A
Hispanic or Latino,F,Seattle City Light,35,31.35,R,A
Hispanic or Latino,F,Information Technology,40,69.23,R,A
Hispanic or Latino,M,Human Services Department,26,23.62,T,A
Hispanic or Latino,M,Finance & Admin Services,52,67.321,R,A
Hispanic or Latino,F,Finance & Admin Services,59,34.47,R,A
Hispanic or Latino,M,Finance & Admin Services,35,41.38,R,A
Hispanic or Latino,M,Finance & Admin Services,49,82.008,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,38,67.49,R,A
Hispanic or Latino,F,Finance & Admin Services,62,42.57,R,A
